MasterID,ItemID,Yield,Replenishable,Remaining,WHLocation,Plant,StartingFT,Core,CRCITEMID,Complete,PO_Num,Date_Received,Date_Receiveing,LastInventoryCycle,LastInventoryRemaining,LastInventoryComplete,OLD_PO
"CFB 14.0# PNK 11 5/8                              ","2D1H02161K             ",348," ",348,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 07:45:26.000,2023-01-02 16:10:14.000,2023-01-02 06:13:28.000,348,0,NULL
"CFB 14.0# PNK 9 1/2                               ","2D1H02191B             ",288," ",73,"          ","2 ",0,0,"00000000    ",0,"2-066046  ",2022-11-22 15:15:10.000,2023-01-02 16:10:26.000,2023-01-02 06:13:28.000,288,0,NULL
"CFB 14.0# PNK 9 1/2                               ","2D1H02191C             ",287," ",287,"          ","2 ",0,0,"00000000    ",0,"2-066046  ",2022-11-22 15:15:17.000,2023-01-02 16:10:26.000,2023-01-02 06:13:28.000,287,0,NULL
"CB 16# WHT 12 1/4                                 ","2D1H03071H             ",100," ",100,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 09:08:22.000,2023-01-02 16:07:01.000,2023-01-02 06:13:28.000,100,0,NULL
"CFB 14.0# PNK 12 1/4                              ","2D1H05152Z             ",369," ",369,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 07:30:42.000,2023-01-02 16:10:19.000,2023-01-02 06:13:28.000,369,0,NULL
"CB 16# WHT 9 7/8                                  ","2D1H21062K             ",173," ",216,"          ","1 ",0,0,"00000000    ",0,"1-066226  ",2023-01-13 15:00:00.000,2023-01-23 09:01:08.000,2023-01-20 05:56:27.000,216,0,NULL
"CFB 14.0# PNK 12 1/4                              ","2D1J06032F             ",374," ",374,"          ","2 ",0,0,"00000000    ",0,"2-066123  ",2022-12-22 15:42:15.000,2023-01-02 16:10:19.000,2023-01-02 06:13:28.000,374,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D1J15181E             ",370," ",240,"          ","2 ",0,0,"00000000    ",0,"2-064485  ",2021-09-27 16:07:55.000,2023-01-02 16:10:38.000,2023-01-02 06:13:28.000,240,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D1J15281Z             ",373," ",373,"          ","2 ",0,0,"00000000    ",0,"2-064485  ",2021-09-27 16:08:05.000,2023-01-02 16:10:39.000,2023-01-02 06:13:28.000,373,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D1J16043Z             ",372," ",372,"          ","2 ",0,0,"00000000    ",0,"2-064439  ",2021-09-27 16:08:51.000,2023-01-02 16:10:39.000,2023-01-02 06:13:28.000,372,0,NULL
"CFB 14.0# WHT 11 5/8                              ","2D1J17041F             ",354," ",241,"          ","2 ",0,0,"00000000    ",0,"2-064516  ",2021-09-22 12:09:54.000,2023-01-02 16:10:31.000,2023-01-02 06:13:28.000,241,0,NULL
"CB 16# WHT 8 1/2                                  ","2D1K05122EA            ",0," ",52,"          ","2 ",0,0,"00000000    ",0,"          ",2023-01-02 16:07:14.000,2023-01-02 16:07:14.000,2023-01-02 06:13:28.000,52,0,NULL
"CFB 14.0# WHT 11 5/8                              ","2D1K25242Z             ",0," ",354,"          ","2 ",0,0,"00000000    ",0,"          ",2023-01-02 16:10:31.000,2023-01-02 16:10:31.000,2023-01-02 06:13:28.000,354,0,NULL
"CB 16# WHT 14 7/8                                 ","2D1L18021A             ",507," ",433,"          ","2 ",0,0,"00000000    ",0,"2-064663  ",2021-11-29 15:42:54.000,2023-01-02 16:07:11.000,2023-01-02 06:13:28.000,433,0,NULL
"CFB 14.0# CAN 14 7/8                              ","2D1L19012Z             ",446," ",194,"          ","2 ",0,0,"00000000    ",0,"2-064663  ",2021-12-03 12:25:13.000,2023-01-02 16:09:45.000,2023-01-02 06:13:28.000,194,0,NULL
"CFB 14.0# GRN 15 1/2                              ","2D1L27242D             ",463," ",83,"          ","2 ",0,0,"00000000    ",0,"2-064556  ",2021-12-09 09:47:02.000,2023-01-02 16:10:06.000,2023-01-02 06:13:28.000,83,0,NULL
"CFB 14.0# GRD 9 1/2                               ","2D1M08053C             ",287," ",113,"          ","2 ",0,0,"00000000    ",0,"2-064800  ",2022-02-03 06:06:44.000,2023-01-02 16:10:01.000,2023-01-02 06:13:28.000,146,0,NULL
"CFB 14.0# WHT 9 7/8                               ","2D1M31313A             ",297," ",269,"          ","2 ",0,0,"00000000    ",0,"2-064785  ",2022-01-18 10:26:26.000,2023-01-02 16:10:49.000,2023-01-02 06:13:28.000,269,0,NULL
"CFB 14.0# PNK 9 7/8                               ","2D2A10031E             ",296," ",68,"          ","2 ",0,0,"00000000    ",0,"2-064800  ",2022-01-18 11:30:05.000,2023-01-02 16:10:28.000,2023-01-02 06:13:28.000,95,0,NULL
