Description,CRCItemID,ERMaterials,LeadTime,PartsPerUnit,CostPerFactor,DLCostPerFactor,EstimatePerFactor,UseBy,OrderBY,PressFactor,CollatorFactor,OfflineFactor,ProdType,ItemType,ReportType,Color,Size,SubWT,ReOrderPoint,Cycle,PVGLCode,PRGLCode,ReqReport,Vendor_ItemID,Vendor_qty,DateLastPriceChange,LastPriceChangePO,Valueation,New_Item_Type,Old_Item_Type,BidID,CostingLink,Inventoryable
"ELEC 110# INDEX WHT 9 1/4 IP 931                  ","            ",T,1,0.0351,0.5415,0.00,0.471,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","9 1/4     ","110       ",0," ","40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEIDX,"ETAG      ",NULL,NULL,1
"ELEC 110# INDEX WHT 9 7/8 IP 931                  ","            ",T,1,0.0351,0.5415,0.00,0.471,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","9 7/8     ","110       ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"ELEC 110# INDEX WHT CASCADES 873 DVS 17 1/2       ","            ",F,0,1,0.69,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","IDX   ","BOND      ","WHT ","17 1/2    ","110       ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",1100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"ELEC 110# INDEX WHT CASCADES 873 DVS 19 3/4       ","            ",F,0,1,0.69,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","IDX   ","ELEC      ","WHT ","19 3/4    ","110       ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",1170,2013-08-28 07:30:54.547,"2-052400  ",NULL,NULL,NULL,NULL,NULL,1
"ELEC 110# WHT 19 3/4                              ","8222050341  ",T,1,0.0351,0.6125,0.00,0.471,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","19 3/4    ","110       ",0," ","40200-3-30          ","40200-1-30          ",T,"            ",1134,NULL,NULL,NULL,ELEIDX,"ETAG      ",NULL,NULL,1
"ELEC 110# WHT 20 1/4                              ","            ",T,1,0.0351,0.5424,0.00,0.0471,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","19        ","110       ",0," ","40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEIDX,"ETAG      ",NULL,NULL,1
"ELEC 110# WHT INDEX 18 1/4                        ","            ",T,0,1,0.69,0.00,0.69,"LB        ","LB        ",0,0,0,"ROLL  ","IDX   ","ELEC      ","WHT ","18        ","110       ",-1," ","40200-3-30          ","40200-1-30          ",F,"            ",683,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"ELEC 110# WHT INDEX DOMTAR 19 3/4                 ","            ",F,0,1,0.825,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","19 3/4    ","110       ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",700,2012-04-16 14:54:52.933,"2-051527  ",NULL,ELEIDX,"ETAG      ",NULL,NULL,1
"ELEC 125 BOISE OCRLASER 19 3/4                    ","8222050052  ",T,1,0.0381,0.425,0.00,0.425,"LB        ","LB        ",0,0,0,"ROLL  ",ELETAG,"ELEC      ","WHT ","19        ","12        ",0,NULL,"40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELETAG,"ETAG      ",NULL,NULL,1
"ELEC 125 WHT 19 3/4                               ","8222050390  ",T,1,1,0.425,0.00,0.425,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","ELEC      ","WHT ","19 3/4    ","125       ",0," ","40200-3-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,ELETAG,"ETAG      ",NULL,NULL,1
"ELEC 18 WHT 18 1/2                                ","8222050051  ",T,1,0.0145,0.445,0.00,0.445,"LB        ","LB        ",0,0,0,"ROLL  ",ELEBND,"ELEC      ","WHT ","18 1/2    ","18        ",0,NULL,"40200-3-30          ","40200-3-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEBND,"EBND      ",NULL,NULL,1
"ELEC 18 WHT 9 1/4                                 ","8222050101  ",T,1,0.0252,0.437,0.00,0.437,"LB        ","LB        ",0,0,0,"ROLL  ",ELEBND,"ELEC      ","WHT ","9         ","18        ",0,NULL,"40200-3-30          ","40200-3-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEBND,"EBND      ",NULL,NULL,1
"ELEC 27.7# NEWSPRINT 17 1/2                       ","            ",F,1,1,0.3289,0.00,0.3289,"LB        ","LB        ",0,0,0,"ROLL  ",ENEWSP,"ELEC      ","WHT ","17 1/2    ","27.7      ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",700,2012-04-06 10:41:58.037,"2-051601  ",NULL,ENEWSP,"OFF       ",NULL,NULL,1
"ELEC 27.7# NEWSPRINT 35 45/3                      ","            ",F,1,1,0.57,0.00,0.57,"LB        ","LB        ",0,0,0,"ROLL  ",ENEWSP,"ELEC      ","WHT ","UNIT      ","27.7      ",-1," ","40200-3-30          ","40200-1-30          ",F,"            ",1400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"ELEC 45 WHT 18 1/2                                ","8222050131  ",T,1,0.0346,0.437,0.00,0.437,"LB        ","LB        ",0,0,0,"ROLL  ",ELEOFF,"ELEC      ","WHT ","18 1/2    ","45        ",0," ","40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEOFF,"EOFF      ",NULL,NULL,1
"ELEC 45 WHT 9 1/4                                 ","8222050121  ",T,1,0.0252,0.437,0.00,0.437,"LB        ","LB        ",0,0,0,"ROLL  ",ELEOFF,"ELEC      ","WHT ","9         ","45        ",0," ","40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEOFF,"EOFF      ",NULL,NULL,1
"ELEC 45 WHT HUSKY GW 18 1/2                       ","8222050131  ",T,1,0.0346,0.41,0.00,0.437,"LB        ","LB        ",0,0,0,"ROLL  ",ELEOFF,"ELEC      ","WHT ","18 1/2    ","45        ",0,NULL,"40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEOFF,"EOFF      ",NULL,NULL,1
"ELEC 45 WHT NORBRITE GW 18 1/2                    ","8222050131  ",T,1,0.0346,0.411,0.00,0.437,"LB        ","LB        ",0,0,0,"ROLL  ",ELEOFF,"ELEC      ","WHT ","18 1/2    ","45        ",0," ","40200-3-30          ","40200-1-30          ",T,NULL,NULL,2012-12-05 12:39:32.990,"2-051358  ",NULL,ELEOFF,"EOFF      ",NULL,NULL,1
"ELEC 45 WHT NORBRITE GW 8 7/8                     ","            ",T,1,0.0346,0.437,0.00,0.437,"LB        ","LB        ",0,0,0,"ROLL  ",ELEOFF,"ELEC      ","WHT ","8 7/8     ","45        ",0," ","40200-3-30          ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,ELEOFF,"EOFF      ",NULL,NULL,1
"ELEC 45 WHT NORBRITE GW 9 1/2                     ","            ",T,1,0.0346,0.437,0.00,0.437,"LB        ","LB        ",0,0,0,"ROLL  ",ELEOFF,"ELEC      ","WHT ","9 1/2     ","45        ",0," ","40200-3-30          ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,ELEOFF,"EOFF      ",NULL,NULL,1
"ELEC 45 WHT NORBRITE GW 9 1/4                     ","            ",T,1,0.0346,0.437,0.00,0.437,"LB        ","LB        ",0,0,0,"ROLL  ",ELEOFF,"ELEC      ","WHT ","9 1/4     ","45        ",0," ","40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEOFF,"EOFF      ",NULL,NULL,1
"ELEC 45# OFFSET ABI/BOW 83B 18                    ","            ",F,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ",OFFSET,"ELEC      ","WHT ","18        ","45        ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",650,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"ELEC 80# DOM ESS BALLOT STK 19 3/4                ","            ",F,1,1,0.88,0.00,0.88,"LB        ","LB        ",0,0,0,"ROLL  ","EOPQ  ","ELEC      ","WHT ","19 3/4    ","80        ",-1,P,"40200-3-30          ","40600-1-30          ",F,"            ",1124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"ELEC 80# WHT ES&S OPAQUE 17 1/2                   ","            ",F,0,1,0.785,0.00,0.785,"LB        ","LB        ",0,0,0,"ROLL  ",OFFSET,"ELEC      ","WHT ","17 1/2    ","80        ",-1," ","40200-3-30          ","40200-1-30          ",F,"            ",660,2012-07-02 10:38:27.070,"2-051860  ",NULL,NULL,NULL,NULL,NULL,0
"ELEC 90 WHT 17 1/2                                ","8222050151  ",T,1,0.0365,0.5585,0.00,0.445,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","17 1/2    ","90        ",0," ","40200-3-30          ","40200-1-30          ",T,"            ",1096,2012-12-12 14:19:33.563,"2-052104  ",NULL,ELEIDX,"EIDX      ",NULL,NULL,1
"ELEC 90 WHT TEST 17 1/2                           ","8222050171  ",T,1,0.0365,0.445,0.00,0.445,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","17 1/2    ","90        ",0,NULL,"40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEIDX,"EIDX      ",NULL,NULL,1
"ELEC 90 WHT TEST 22 1/2                           ","8222050181  ",T,1,0.0451,0.445,0.00,0.445,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","22 1/2    ","90        ",0,NULL,"40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEIDX,"EIDX      ",NULL,NULL,1
"ELEC 90# CASCADE 8 1/2                            ","            ",F,1,1,0.00,0.00,0.00,"          ","          ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","8 1/2     ","90        ",-1," ","40200-2-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEIDX,"EIDX      ",NULL,NULL,1
"ELEC 90# OCR INDEX 19 3/4                         ","8222050176  ",T,1,0.017,0.5415,0.00,0.5705,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","19 3/4    ","90        ",0," ","40200-3-30          ","40200-1-30          ",T,NULL,NULL,2011-08-02 13:40:15.943,"2-051264  ",NULL,ELEIDX,"EIDX      ",NULL,NULL,1
"ELEC 90# SPRINGHILL INDEX                         ","            ",F,0,1,0.445,0.00,0.445,"LB        ","LB        ",0,0,0,"ROLL  ",ELEBND,"ELEC      ","WHT ","13 1/2    ","90        ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"ELEC 90# SPRINGHILL INDEX 13 1/2 IP               ","            ",F,1,1,0.6495,0.00,0.6495,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","ELEC      ","WHT ","13 1/2    ","90        ",-1," ","40200-3-30          ","40200-1-30          ",F,"            ",846,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"ELEC 90# WHT DOMTAR 12 1/2                        ","            ",F,0,1,0.445,0.00,0.445,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","12 1/2    ","90        ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"ELEC 90# WHT WAUSAU 12 1/2                        ","            ",F,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","12 1/2    ","90        ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"ELEC 99 RED 13 1/2                                ","8222050201  ",T,1,0.025,0.41,0.00,0.41,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","RED ","13 1/2    ","99        ",0,NULL,"40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEIDX,"EIDX      ",NULL,NULL,1
"ELEC 99 SAL 13 1/2                                ","8222050211  ",T,1,0.025,0.41,0.00,0.41,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","SAL ","13 1/2    ","99        ",0," ","40200-3-30          ","40200-1-30          ",T,"            ",860,NULL,NULL,NULL,ELEIDX,"EIDX      ",NULL,NULL,1
"ELEC 99 TABIDX 13 1/2                             ","8222050001  ",T,1,0.025,0.455,0.00,0.455,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","13 1/2    ","99        ",0,NULL,"40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEIDX,"EIDX      ",NULL,NULL,1
"ELEC 99 TEMBEC NAT 13 1/2                         ","8222050221  ",T,1,0.025,0.4475,0.00,0.4475,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","NAT ","13 1/2    ","99        ",0,NULL,"40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEIDX,"EIDX      ",NULL,NULL,1
"ELEC 99 WHT IP 13 1/2                             ","8222050191  ",T,1,0.025,0.455,0.00,0.455,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","13 1/2    ","99        ",0,NULL,"40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEIDX,"EIDX      ",NULL,NULL,1
"ENVLOPE TABS                                      ","            ",F,1,1,0.0056,0.00,0.00,"EA        ","EA        ",0,0,0,"BX    ","BX    ",NULL,"WHT ","0         ","12        ",-1," ","40200-2-30          ","40200-1-30          ",F,NULL,NULL,NULL,NULL,NULL,"BX    ","BX        ",NULL,NULL,1
"ERASIBLE                                          ","            ",F,1,1,33.36,0.00,33.36,"EA        ","EA        ",0,0,0,"INK   ","INK   ",NULL,UNIT,"UNIT      ","UNIT      ",-1," ","40200-2-30          ","40200-1-30          ",F,"INK         ",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"ES&S 80# COUNTRIGHT BALLOT STOCK 19 3/4 50/3      ","            ",F,0,1,0.7958,0.00,0.7958,"LB        ","LB        ",0,0,0,"ROLL  ","ELEC  ","ELEC      ","WHT ","19 3/4    ","80        ",-1," ","40200-3-30          ","40200-1-30          ",F,"            ",1100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"ES&S COUNTRIGHT BALLOT STOCK 19 3/4 50/3          ","            ",F,0,1,0.7958,0.00,0.7958,"LB        ","LB        ",0,0,0,"ROLL  ","ELEC  ","ELEC      ","WHT ","19 3/4    ","80        ",-1," ","40200-3-30          ","40200-1-30          ",F,"            ",1100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"ES&S COUNTRIGHT BALLOT STOCK 50/3                 ","            ",F,0,1,0.7958,0.00,0.7958,"LB        ","LB        ",0,0,0,"ROLL  ","ELEC  ","ELEC      ","WHT ","19 3/4    ","80        ",-1," ","40200-3-30          ","40200-1-30          ",F,"            ",1100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"FAKE MATERIAL                                     ",NULL,T,1,0,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 1/2     ","15        ",0,NULL,NULL,NULL,T,NULL,NULL,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
FINCH 100# MAILSTREAM TXT XP96 BRIGHT WHITE 19 3/4,"            ",T,1,1,0.66,0.00,0.66,"LB        ","LB        ",0,0,0,"ROLL  ","TEXT  ","ELEC      ","WHT ","19 3/4    ","100       ",-1," ","40200-3-30          ","40200-1-30          ",T,"11527       ",1170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"FINCH 24# MAILSTREAM INKJET BRIGHT WHT 18" 50/3   ","            ",T,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","CRBNLS    ","WHT ","18        ","24        ",-1," ","40200-2-30          ","40200-1-30          ",F,"4502354     ",834,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"FINCH 80# MAILSTREAM TXT XP96 BRIGHT WHITE 17 1/2 ","            ",T,0,1,0.64,0.00,0.64,"LB        ","LB        ",0,0,0,"ROLL  ","TEXT  ","ELEC      ","WHT ","17 1/2    ","80        ",-1," ","40200-3-30          ","40200-1-30          ",T,"11527       ",927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"FINCH 80# MAILSTREAM TXT XP96 BRIGHT WHITE 17 3/4 ","            ",T,1,1,0.64,0.00,0.64,"LB        ","LB        ",0,0,0,"ROLL  ","TEXT  ","ELEC      ","WHT ","19 3/4    ","80        ",-1," ","40200-3-30          ","40200-1-30          ",F,"11527       ",1047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"FINCH 80# MAILSTREAM TXT XP96 BRIGHT WHITE 19 3/4 ","            ",T,1,1,0.75,0.00,0.75,"LB        ","LB        ",0,0,0,"ROLL  ","TEXT  ","ELEC      ","WHT ","19 3/4    ","80        ",-1," ","40200-3-30          ","40200-1-30          ",F,"11527       ",1160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"FINCH OPAQUE 9PT REPLY CARD 18                    ","            ",T,14,1,0.75,0.00,0.75,"LB        ","LB        ",0,0,0,"ROLL  ","REPLY ","ELEC      ","WHT ","18        ","124       ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"FINCH OPAQUE 9PT REPLY CARD 18 50/3               ","            ",T,1,1,0.685,0.00,0.685,"LB        ","LB        ",0,0,0,"ROLL  ",ELEOFF,"ELEC      ","WHT ","18        ","100       ",-1," ","40200-3-30          ","40200-1-30          ",F,"            ",1025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"FINCH OPAQUE 9PT REPLY CARD 9                     ","            ",T,14,1,0.75,0.00,0.75,"LB        ","LB        ",0,0,0,"ROLL  ","EOPQ  ","ELEC      ","WHT ","9         ","110       ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"Flexo                                             ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"Flexo ","Flexo ",NULL,UNIT,"UNIT      ","UNIT      ",-1," ","40200-2-30          ","40200-1-30          ",F,"Flexo       ",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"GIA 28# 17                                        ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BND   ","BOND      ","WHT ","17        ","28        ",-1," ","                    ","40100-1-30          ",T,"            ",0,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"GIA 28# 18                                        ","            ",F,1,1,173.35,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BND   ","BOND      ","WHT ","18        ","28        ",-1," ","                    ","40100-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"GIA 28# 18""                                       ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BND   ","BOND      ","WHT ","18        ","28        ",-1," ","                    ","40100-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"GUM 22# WHT STOCK 10                              ","8222017045  ",T,1,0.015,1.708,0.00,1.708,"LB        ","LB        ",0,0,0,"ROLL  ","GUM   ","BOND      ","WHT ","10        ","22        ",0,NULL,"40200-2-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,"GUM   ","GUM       ",NULL,NULL,1
"GUM 22# WHT STOCK 12 1/2                          ","8222017065  ",T,1,0.03,1.708,0.00,1.708,"LB        ","LB        ",0,0,0,"ROLL  ","GUM   ","BOND      ","WHT ","12 1/2    ","22        ",0,NULL,"40200-2-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,"GUM   ","GUM       ",NULL,NULL,1
"GUM 22# WHT STOCK 15 1/2                          ","8222017101  ",T,1,0.03,1.7225,0.00,1.7225,"LB        ","LB        ",0,0,0,"ROLL  ","GUM   ","BOND      ","WHT ","15 1/2    ","22        ",0,NULL,"40200-2-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,"GUM   ","GUM       ",NULL,NULL,1
"GUM 22# WHT STOCK 8 1/2                           ","8222017015  ",T,1,0.012,1.73,0.00,1.73,"LB        ","LB        ",0,0,0,"ROLL  ","GUM   ","BOND      ","WHT ","8 1/2     ","22        ",0,NULL,"40200-2-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,"GUM   ","GUM       ",NULL,NULL,1
"IGEN BLK TONER                                    ","            ",F,1,1,109.00,0.00,109.00,"EA        ","EA        ",0,0,0,"TONER ","TNR   ",NULL,UNIT,"UNIT      ","UNIT      ",-1," ","40200-2-30          ","40200-1-30          ",F,"TONER       ",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"IGEN CLR TONER                                    ","            ",F,1,1,109.00,0.00,109.00,"EA        ","EA        ",0,0,0,"TONER ","TNR   ",NULL,UNIT,"UNIT      ","UNIT      ",-1," ","40200-2-30          ","40200-1-30          ",F,"TONER       ",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"IMAGE SECURE NO PERFS                             ","            ",F,1,1,0.00,0.00,0.00,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","17        ","20        ",-1," ","                    ","                    ",T,NULL,NULL,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"IMG TONER                                         ","            ",F,1,1,37.00,0.00,37.00,"EA        ","EA        ",0,0,0,"TONER ","TNR   ",NULL,UNIT,"UNIT      ","UNIT      ",-1," ","40200-2-30          ","40200-1-30          ",F,"TONER       ",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"KT5 Thermal Tag                                   ","            ",F,1,1,1.9068,0.00,1.9068,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","ELEC      ","WHT ","17 1/2    ","100       ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",796,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"LASER MIDDLE                                      ","            ",T,1,1,0.00,0.00,0.00,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","17        ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,0
"LASER TONER                                       ","            ",F,1,1,45.00,0.00,45.00,"EA        ","EA        ",0,0,0,"TONER ","TNR   ",NULL,UNIT,"UNIT      ","UNIT      ",-1," ","40200-2-30          ","40200-1-30          ",F,"TONER       ",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"LASER TOP                                         ","            ",T,1,1,32.64,0.00,0.00,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","17        ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,NULL,5,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,0
"LAUSD-982688                                      ","            ",F,1,0.025,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ",OFFSET,"BOND      ","WHT ","18        ","76        ",-1," ","40200-2-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,OFFSET,"OFF       ",NULL,NULL,1
"LDGR 32# WHT  17 1/2                              ","8242016191  ",T,1,0.02455,0.675,0.00,0.595,"LB        ","LB        ",0,0,0,"ROLL  ",LEDGER,"BOND      ","WHT ","17 1/2    ","32        ",0,NULL,"40200-2-30          ","40200-1-30          ",T,NULL,NULL,2012-12-01 10:53:47.087,"2-052124  ",NULL,LEDGER,"BOND      ",NULL,NULL,1
"LEDGER 38# WHT 14                                 ",000000000000,F,1,1,1.1983,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ",LEDGER,"BOND      ","WHT ","14        ","38        ",-1," ","40200-2-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,LEDGER,"BOND      ",NULL,NULL,1
"MAKE READY                                        ","            ",T,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CB    ",NULL,"WHT ","11 5/8    ","16        ",0," ","40100-2-30          ","40100-130           ",T,"            ",1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"Meal Ticket Shell                                 ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","BUF ","9 7/8     ","32        ",-1," ","40200-2-30          ","40600-1-30          ",T,NULL,NULL,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"MIDDLE ALPHA                                      ","            ",F,1,1,0.00,0.00,0.00,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","17        ","20        ",-1," ","                    ","                    ",T,NULL,NULL,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"MIDDLE IMAGE SECURE                               ","            ",T,1,1,0.00,0.00,0.00,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","17        ","24        ",-1," ","                    ","                    ",T,NULL,NULL,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"MIDDLE LASER EDGE                                 ","            ",T,1,1,0.00,0.00,0.00,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","17        ","24        ",-1," ","                    ","                    ",T,NULL,NULL,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,0
"MIDDLE SPLIT FOUNTAIN                             ","            ",T,1,1,0.00,0.00,0.00,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","17        ","24        ",-1," ","                    ","                    ",T,NULL,NULL,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"MIDDLE STARBURST                                  ","            ",T,1,1,0.00,0.00,0.00,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","17        ","24        ",-1," ","                    ","                    ",T,NULL,NULL,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"NIP TONER                                         ","            ",F,1,1,37.00,0.00,37.00,"EA        ","EA        ",0,0,0,"TONER ","TNR   ",NULL,UNIT,"UNIT      ","UNIT      ",-1," ","40200-2-30          ","40200-1-30          ",F,"TONER       ",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"OFF 40# PNK 17 1/2                                ","8222016239  ",T,1,0,0.595,0.00,0.595,"LB        ","LB        ",0,0,0,"ROLL  ",OFFSET,"BOND      ","PNK ","17 1/2    ","40        ",0,NULL,"40200-2-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,OFFSET,"BOND      ",NULL,NULL,1
"OFF 60# CAN 17 1/2                                ","8222016245  ",T,1,1,0.595,0.00,0.595,"LB        ","LB        ",0,0,0,"ROLL  ",OFFSET,"BOND      ","CAN ","17 1/2    ","60        ",0," ","40200-2-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,OFFSET,"OFF       ",NULL,NULL,1
"OFF 70# STARBRT 96 OPQ                            ","8222016297  ",T,1,0,0.6365,0.00,0.6365,"LB        ","LB        ",0,0,0,"ROLL  ",OFFSET,"BOND      ","OPQ ","19 3/4    ","70        ",0,NULL,"40200-2-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,OFFSET,"BOND      ",NULL,NULL,1
